"","logFC.genotypeD2","logFC.genotypeD6","logCPM","LR","PValue","FDR"
"oases2_k25_Locus_15335_Transcript_9_1",2.55995998158934,4.04680928938545,3.96720435133688,16.7018526797048,0.000236177636307918,0.00644445123238117
"oases2_k25_Locus_5840_Transcript_2_1",0.47142448942808,-3.08802401288548,4.07170529699375,16.6877116662176,0.000237853449320284,0.0064853528229909
"oases2_k37_Locus_13760_Transcript_2_1",0.235758911224403,-4.36112166868517,3.48372949491708,16.6766553327838,0.000239171984024208,0.00651645926457635
"oases3_k43_Locus_1295_Transcript_6_2",-4.06511751641116,-2.86372601895624,1.16921987778749,16.6737331939545,0.000239521686302358,0.00652114239180873
"oases6_CL3068Contig1_1",6.34864705727214,7.38055564017712,1.79474295750976,16.6694471884909,0.000240035532320488,0.00652550793269121
"oases2_k25_Locus_4333_Transcript_2_1",0.925090938310462,-2.26670132455016,7.54001123823301,16.6694273939365,0.000240037908030443,0.00652550793269121
"oases6_k31_Locus_971_Transcript_36_1",2.39998340546408,4.38893601280323,4.29938642562073,16.6678019094075,0.00024023307628338,0.00652597600484474
"oases6_CL2834Contig1_1",4.78912940637417,5.02989389577475,2.63391731922059,16.6550729642608,0.000241766908949051,0.00656278153359626
"oases2_k31_Locus_36_Transcript_5_1",3.44479386098841,1.02406917153964,4.55536722585907,16.6526946506882,0.00024205457871786,0.00656573044772196
"oases6_CL4692Contig1_2",2.4358791240098,3.06009673528016,4.33487537952839,16.6475395191461,0.000242679295092579,0.00657340631029355
"oases6_k37_Locus_2941_Transcript_4_2",-5.18254921567481,-0.045415010337254,1.96877927011388,16.6474014631141,0.000242696047341027,0.00657340631029355
"oases6_k49_Locus_35887_Transcript_2_1",-0.0766016792258624,4.13475693077975,1.84795180102126,16.6317826556977,0.00024459877868158,0.00662005240633917
"oases3_k49_Locus_8869_Transcript_5_1",-3.41863344330404,0.142982643198233,5.11721649270235,16.6132652228256,0.000246873965817137,0.00667670276431555
"oases3_CL3134Contig1_1",-4.89460283543386,-3.89651886386924,1.96744900370843,16.6080857739296,0.000247514129928528,0.00668908304117089
"oases3_CL3200Contig1_1",-0.732639638432707,-4.52295635665312,3.13498580318597,16.6037359013885,0.000248053043225795,0.00669871079103061
"oases2_k37_Locus_10596_Transcript_4_1",2.64786986863293,-3.27509083445371,2.78206172539596,16.5948590576145,0.000249156454172228,0.00672355750099935
"oases2_k49_Locus_5831_Transcript_6_1",3.59564024336877,1.66592245650526,2.95970959384339,16.5900971754425,0.000249750387790707,0.00673462939077102
"oases3_CL3394Contig1_3",-3.90952131805819,-3.89610398787965,3.23629908063744,16.5884827203435,0.000249952074576847,0.00673511567300273
"oases3_k31_Locus_569_Transcript_25_1",1.53902041551482,-1.04533310179678,4.98064930754263,16.5804207404561,0.00025096166232786,0.00675735465679119
"oases2_CL8734Contig1_1",-0.0623223745811657,-4.15533622444696,3.53433211893677,16.5774107984993,0.000251339636695233,0.00676256676194005
"oases3_k25_Locus_28523_Transcript_1_1",-3.16106061876903,-4.26693976076651,2.30033284522709,16.5685743885001,0.000252452563493643,0.00678753142302225
"oases2_k31_Locus_19597_Transcript_1_1",3.08137949100765,-0.739389623450744,2.53557943038987,16.5628871315738,0.000253171466450808,0.00680187339864503
"oases6_k49_Locus_3755_Transcript_20_1",-0.421991593347008,2.30359126970654,3.28378739984063,16.5604033669623,0.000253486070925746,0.00680534017500723
"oases2_k25_Locus_8218_Transcript_5_1",2.22566491997309,-0.250532004614713,6.12747763357453,16.5548281028713,0.000254193682642465,0.00681934522571114
"oases6_k31_Locus_11540_Transcript_4_1",-1.60578091012586,2.57610540426011,2.00393710569942,16.5301875116282,0.000257344795419465,0.00689883456317108
"oases6_k25_Locus_32585_Transcript_5_1",0.0897600634437545,3.25378837786024,3.03092811556236,16.5224180429581,0.000258346455914944,0.00692062788734019
"oases3_CL1665Contig1_1",-2.43467026570806,-3.9029344337933,2.43426670298284,16.5120668927128,0.000259687013491011,0.00695146120128164
"oases6_k37_Locus_25670_Transcript_1_1",1.63157720574724,6.03423527290995,0.582985284343924,16.5008000476959,0.000261154068548656,0.00698563322821653
"oases3_k25_Locus_19588_Transcript_7_1",-2.79801999928034,-5.71799008215728,2.53054313927363,16.4982563245783,0.000261486431684513,0.00698942558977125
"oases3_k49_Locus_1906_Transcript_327_1",-5.06876072136483,-4.0220557923699,1.21602113777599,16.4824631441244,0.000263559457029127,0.00703970573024704
"oases3_k31_Locus_1533_Transcript_5_1",-3.72318127367331,-0.42914042645147,2.85286631560669,16.4785816983184,0.000264071449560802,0.0070474605194176
"oases2_CL3263Contig1_1",2.12140242444996,-2.39916790201885,2.82730499466602,16.4773499908474,0.00026423412903769,0.0070474605194176
"oases3_k31_Locus_27967_Transcript_1_1",3.28423648165065,0.0996567901246694,2.42440069218019,16.4716107578756,0.000264993468636155,0.00706257665355648
"oases6_k49_Locus_15257_Transcript_1_1",-1.81934397680074,3.41805070329262,1.23987761657536,16.459550884663,0.000266596189750218,0.00710013221983278
"oases2_k37_Locus_6787_Transcript_1_1",1.16218562267693,-3.38090597463191,3.18041924656621,16.4571654507383,0.00026691435324961,0.00710344708035046
"oases3_k49_Locus_43958_Transcript_2_1",-0.507403254152026,-6.76547546238759,2.27569616039434,16.4420367265386,0.000268941045721232,0.00715219359661694
"oases2_k25_Locus_9927_Transcript_3_1",1.46486759245457,-2.39049749277349,3.95668316075427,16.4396911400447,0.000269256642992482,0.00715539773077051
"oases2_CL8504Contig1_1",-1.98954815949604,-6.63101789329992,1.15311915490985,16.4359353665809,0.000269762751528358,0.00716365632642973
"oases6_k31_Locus_14362_Transcript_4_1",3.2245288826843,4.75562029605865,3.08517077928672,16.4320779510152,0.000270283547116556,0.00717229270868701
"oases2_CL928Contig1_1",2.68430267957327,0.909686444801103,7.32346774732898,16.4260146026962,0.000271104202112811,0.00718656424725767
"oases6_k43_Locus_7881_Transcript_8_1",-3.623749857347,1.03572323289562,3.20213185840952,16.4252100106123,0.000271213288201255,0.00718656424725767
"oases3_k31_Locus_4082_Transcript_39_1",-3.63516737692538,-5.45102445953432,0.825782234870251,16.4230065930772,0.000271512250913419,0.00718929153628001
"oases6_k31_Locus_7840_Transcript_8_1",6.10028701461458,7.11965371141386,2.0457037011909,16.4016835310408,0.000274422473345115,0.00726110776694472
"oases6_k25_Locus_9082_Transcript_13_2",-1.03943929987361,1.81242940099865,6.29422660351629,16.3937577598115,0.000275512135895043,0.00728468389306339
"oases2_CL10804Contig1_1",4.3336403739598,3.3553088629099,3.69265122822998,16.3834122944212,0.000276940978853671,0.00731718769272383
"oases6_k31_Locus_3408_Transcript_47_1",-2.17428859218588,1.58041375074977,2.54159378603758,16.3679733526976,0.000279087089432151,0.00736613646148522
"oases3_k25_Locus_7102_Transcript_7_1",-6.29629690538374,-4.39832488623805,1.01876292035532,16.3671979552192,0.000279195312122391,0.00736613646148522
"oases3_k49_Locus_20183_Transcript_2_1",-4.40055836110924,-3.10162118755337,2.13026561840329,16.363315098121,0.000279737876376573,0.00737514532017113
"oases2_CL508Contig1_1",2.19929956634173,-0.626473230186888,3.59520268413529,16.3618617426342,0.000279941229542475,0.00737520453377239
"oases2_k49_Locus_16907_Transcript_1_1",5.02071060138682,5.42052421417173,3.18239524342182,16.3603324817857,0.000280155362979621,0.0073755474706042
"oases3_k49_Locus_404_Transcript_13_1",-2.04861187963973,-3.41257455708165,4.6716779370774,16.3576675794844,0.000280528905123458,0.00737864515912882
"oases2_k31_Locus_6304_Transcript_8_1",5.69300763095923,1.00164047173133,2.3402197608942,16.3566232284102,0.000280675428707352,0.00737864515912882
