"","logFC.genotype2","logFC.genotype6","logCPM","LR","PValue","FDR"
"oases2_k31_Locus_5019_Transcript_8_1",-0.151031228281259,-1.44011508797176,5.10826753296764,10.9944958791875,0.00409803397080552,0.0235966713473624
"oases6_k49_Locus_56608_Transcript_3_1",2.49309515270279,-0.318731096528884,4.60557365733593,10.9883344386531,0.00411067833398753,0.0236657624085282
"oases6_CL1100Contig1_1",-1.9248640593371,1.47737099842,1.2604772418593,10.9878207951131,0.00411173418124959,0.0236681255107465
"TRINITY_DN109093_c0_g1_i1",-0.363726527596113,-2.87242957239184,-0.253932727063878,10.9842008288722,0.00411918308987946,0.0237072820864955
"oases3_k49_Locus_690_Transcript_934_2",-0.226599762411387,-1.54342763353111,4.71275430646577,10.9820901276549,0.00412353256696849,0.0237285909035674
"oases3_k31_Locus_21006_Transcript_1_1",-0.258528153059401,2.3513534556334,1.41649319348731,10.9806098164208,0.00412658575253675,0.0237424347823628
"oases2_CL1051Contig1_1",0.47762717739191,-2.05423846977985,2.92641372209411,10.9764195906871,0.00413524047859126,0.0237884978935494
"oases3_k37_Locus_6788_Transcript_6_1",-2.51760679048141,-0.860604913947546,2.64063217183653,10.9755989317131,0.00413693763786881,0.0237945285435324
"oases6_k25_Locus_15616_Transcript_1_1",0.933415845113595,3.51348815946359,0.580945246711682,10.974064127581,0.00414011355080448,0.0238072988112879
"oases3_k43_Locus_14401_Transcript_2_1",-1.68323339452501,-1.78909745396208,5.2559243677151,10.973898586939,0.00414045624351415,0.0238072988112879
"oases3_k49_Locus_14361_Transcript_2_1",-0.28431621449802,1.50197291620948,3.88281029678951,10.9682824038378,0.00415209936352982,0.023868168231696
"oases3_k49_Locus_40414_Transcript_1_1",-3.91624430894484,-2.80906216862133,0.0628092925790779,10.9681645461031,0.00415234404925206,0.023868168231696
"oases6_k49_Locus_483_Transcript_54_1",1.37159659167801,1.39863240472636,5.80598853191596,10.9668169580494,0.00415514281666018,0.0238805128530605
"oases6_k43_Locus_229_Transcript_3_1",0.0872157918900263,-1.51936490807594,5.0255382951911,10.9663910049364,0.00415602785891237,0.0238818567329824
"oases6_k43_Locus_30052_Transcript_8_1",-4.85623541081661,1.16184836468169,1.10258944908203,10.9651440440136,0.00415861986902924,0.023893007434891
"oases6_k49_Locus_10669_Transcript_6_1",0.806924904911473,1.72934125214165,4.06952494249541,10.9603486564405,0.00416860292942814,0.0239466126614847
"oases6_k31_Locus_15144_Transcript_2_1",-1.32860403933627,1.22774023039592,1.68794753648903,10.9600310842479,0.0041692648981687,0.0239466643086203
