"Gene" "Flower" "Leaf" "Stem"
"TRINITY_DN74591_c1_g3_i1" 0 0 0
"TRINITY_DN74591_c1_g1_i3" 0 0 0
"TRINITY_DN74591_c1_g5_i1" 0 0 0
"TRINITY_DN74591_c1_g1_i7" 0 0 0
"TRINITY_DN74591_c1_g1_i8" 0 0 0
"TRINITY_DN74591_c1_g1_i10" 0 0 0
"TRINITY_DN74516_c1_g2_i1" 0 0 0
"TRINITY_DN74516_c1_g1_i5" 0 0 0
"TRINITY_DN74516_c1_g1_i6" 0 0 0
"TRINITY_DN74516_c1_g1_i7" 0 0 0
"TRINITY_DN74516_c1_g1_i8" 0 0 0
"TRINITY_DN74516_c1_g1_i9" 0 0 0
"TRINITY_DN74516_c1_g1_i12" 0 0 0
"TRINITY_DN74516_c1_g1_i15" 0 0 0
"TRINITY_DN74516_c1_g1_i17" 0 0 0
"TRINITY_DN74516_c1_g1_i21" 0 0 0
"TRINITY_DN74560_c0_g1_i2" 0 0 0
"TRINITY_DN74560_c0_g1_i3" 0 0 0
"TRINITY_DN74560_c0_g1_i6" 0 0 0
"TRINITY_DN74560_c0_g1_i7" 0 0 0
"TRINITY_DN74556_c1_g1_i1" 0 1 0
"TRINITY_DN74556_c1_g1_i3" 0 0 0
"TRINITY_DN74556_c2_g1_i2" 0 0 0
"TRINITY_DN74556_c2_g1_i3" 0 0 0
"TRINITY_DN74529_c0_g1_i1" 0 0 0
"TRINITY_DN74529_c0_g2_i1" 0 0 0
"TRINITY_DN74529_c0_g1_i3" 0 0 0
"TRINITY_DN74529_c0_g2_i6" 0 0 0
"TRINITY_DN74529_c0_g2_i8" 0 0 0
"TRINITY_DN74529_c0_g2_i9" 0 0 0
"TRINITY_DN74529_c0_g2_i10" 0 0 0
"TRINITY_DN74533_c3_g1_i2" 0 0 0
"TRINITY_DN74533_c3_g2_i7" 0 0 0
"TRINITY_DN74582_c3_g1_i3" 0 0 0
"TRINITY_DN74582_c3_g1_i5" 0 0 0
"TRINITY_DN74582_c3_g1_i8" 0 0 0
"TRINITY_DN74582_c3_g1_i10" 0 0 0
"TRINITY_DN74582_c3_g1_i11" 0 0 0
"TRINITY_DN74582_c3_g1_i13" 0 0 0
"TRINITY_DN74505_c7_g1_i1" 0 0 0
"TRINITY_DN74505_c7_g1_i4" 0 0 0
"TRINITY_DN74505_c7_g1_i6" 0 0 0
"TRINITY_DN74505_c7_g1_i7" 0 0 0
"TRINITY_DN74505_c7_g1_i12" 0 0 0
"TRINITY_DN74505_c7_g1_i13" 0 0 0
"TRINITY_DN74598_c1_g1_i1" 0 0 0
"TRINITY_DN74598_c2_g1_i1" 0 0 0
"TRINITY_DN74598_c2_g1_i5" 0 0 0
"TRINITY_DN74598_c2_g1_i11" 0 0 0
"TRINITY_DN74569_c1_g1_i3" 0 0 0
"TRINITY_DN74569_c1_g1_i5" 0 0 0
"TRINITY_DN74569_c1_g1_i6" 0 0 0
"TRINITY_DN74569_c1_g1_i8" 0 0 0
"TRINITY_DN74569_c1_g1_i9" 0 0 0
"TRINITY_DN74569_c1_g1_i10" 0 0 0
"TRINITY_DN74569_c1_g1_i12" 0 0 0
"TRINITY_DN74569_c1_g1_i13" 0 0 0
"TRINITY_DN74569_c1_g1_i14" 0 0 0
"TRINITY_DN74569_c1_g1_i15" 0 0 0
"TRINITY_DN74569_c1_g1_i17" 0 0 0
"TRINITY_DN74569_c1_g1_i19" 0 0 0
"TRINITY_DN74573_c1_g1_i1" 0 0 0
"TRINITY_DN74573_c1_g1_i2" 0 0 0
"TRINITY_DN74573_c1_g1_i5" 0 0 0
"TRINITY_DN74573_c2_g1_i1" 0 0 0
"TRINITY_DN74573_c2_g1_i2" 0 0 0
"TRINITY_DN74573_c2_g1_i3" 0 0 0
"TRINITY_DN74573_c2_g1_i5" 0 0 0
"TRINITY_DN74573_c2_g1_i7" 0 0 0
"TRINITY_DN74573_c2_g1_i11" 0 0 0
"TRINITY_DN74545_c0_g2_i1" 0 0 0
"TRINITY_DN74545_c0_g1_i3" 0 0 0
"TRINITY_DN74545_c0_g1_i7" -1 0 0
"TRINITY_DN74545_c0_g2_i2" 0 0 0
"TRINITY_DN74545_c0_g1_i11" -1 0 0
"TRINITY_DN74545_c0_g1_i12" 0 0 0
"TRINITY_DN74545_c0_g2_i3" 0 0 0
"TRINITY_DN74545_c0_g1_i13" 0 0 0
"TRINITY_DN74545_c0_g1_i16" 0 0 0
"TRINITY_DN74545_c0_g1_i21" 0 0 0
"TRINITY_DN74545_c0_g2_i4" 0 0 0
"TRINITY_DN74534_c0_g1_i1" 0 0 0
"TRINITY_DN74534_c0_g1_i2" 0 0 0
"TRINITY_DN74534_c0_g1_i3" 0 0 0
"TRINITY_DN74534_c0_g1_i4" 0 0 0
"TRINITY_DN74585_c1_g1_i1" 0 0 0
"TRINITY_DN74585_c1_g2_i1" 0 0 0
"TRINITY_DN74585_c1_g1_i3" 0 0 0
"TRINITY_DN74585_c1_g1_i6" 0 0 0
"TRINITY_DN74585_c1_g1_i7" 0 0 0
"TRINITY_DN74585_c1_g1_i8" 0 0 0
"TRINITY_DN74585_c1_g1_i9" 0 0 0
"TRINITY_DN74585_c1_g1_i10" 0 0 0
"TRINITY_DN74518_c1_g1_i3" 0 0 0
"TRINITY_DN74518_c1_g1_i4" 0 0 0
"TRINITY_DN74518_c1_g1_i5" 0 0 0
"TRINITY_DN74518_c1_g1_i7" 0 0 0
"TRINITY_DN74518_c1_g1_i8" 0 0 0
"TRINITY_DN74518_c1_g1_i9" 0 0 0
"TRINITY_DN74518_c1_g6_i1" 0 0 0
"TRINITY_DN74518_c1_g1_i10" 0 0 0
"TRINITY_DN74518_c1_g1_i11" 0 0 0
"TRINITY_DN74518_c1_g1_i12" 0 0 0
"TRINITY_DN74574_c1_g2_i2" 0 0 0
"TRINITY_DN74574_c1_g3_i5" 0 0 0
"TRINITY_DN74574_c1_g3_i6" 0 0 0
"TRINITY_DN74574_c1_g3_i8" 0 0 0
"TRINITY_DN74574_c1_g2_i3" 0 0 0
"TRINITY_DN74574_c1_g3_i14" 0 0 0
"TRINITY_DN74542_c1_g2_i1" 0 0 0
"TRINITY_DN74542_c1_g3_i2" 0 0 0
"TRINITY_DN74542_c1_g2_i3" 0 0 0
"TRINITY_DN74542_c1_g2_i4" 0 0 0
"TRINITY_DN74542_c1_g2_i5" 0 0 0
"TRINITY_DN74542_c1_g3_i6" 0 0 0
"TRINITY_DN74542_c1_g2_i9" 0 0 0
"TRINITY_DN74542_c1_g2_i10" 0 0 0
"TRINITY_DN74558_c0_g1_i1" 0 0 0
"TRINITY_DN74558_c0_g1_i2" 0 0 0
"TRINITY_DN74558_c0_g1_i3" 0 0 0
"TRINITY_DN74558_c0_g1_i5" 0 0 0
"TRINITY_DN74558_c0_g4_i1" 0 0 0
"TRINITY_DN74558_c0_g1_i6" 0 0 0
"TRINITY_DN74558_c0_g1_i7" 0 0 0
"TRINITY_DN74558_c0_g1_i9" 0 0 0
"TRINITY_DN74558_c1_g1_i1" 0 0 0
"TRINITY_DN74558_c1_g2_i1" 0 0 0
"TRINITY_DN74558_c1_g2_i2" 0 0 0
"TRINITY_DN74558_c1_g3_i2" 0 0 0
"TRINITY_DN74558_c1_g3_i4" 0 0 0
"TRINITY_DN74558_c1_g3_i7" 0 0 0
"TRINITY_DN74558_c1_g2_i5" 0 0 0
"TRINITY_DN74558_c1_g3_i8" 0 0 0
"TRINITY_DN74571_c1_g1_i2" 0 0 0
"TRINITY_DN74571_c1_g1_i3" 0 0 0
"TRINITY_DN74571_c1_g1_i10" 0 0 0
"TRINITY_DN74571_c1_g1_i14" 0 0 0
"TRINITY_DN74547_c0_g1_i6" 0 0 0
"TRINITY_DN74547_c0_g1_i7" 0 0 0
"TRINITY_DN74547_c0_g1_i8" 0 0 0
"TRINITY_DN74547_c0_g1_i9" 0 0 0
"TRINITY_DN74547_c0_g4_i1" 0 0 0
"TRINITY_DN74547_c0_g2_i2" 0 0 0
"TRINITY_DN74547_c0_g2_i3" 0 0 0
"TRINITY_DN74547_c0_g1_i10" 0 0 0
"TRINITY_DN74531_c0_g1_i1" 0 0 0
"TRINITY_DN74531_c0_g1_i2" 0 0 0
"TRINITY_DN74531_c1_g1_i1" 0 0 0
"TRINITY_DN74531_c1_g1_i6" 0 0 0
"TRINITY_DN74531_c2_g1_i3" 0 0 0
"TRINITY_DN74531_c2_g1_i4" 0 0 0
"TRINITY_DN74531_c2_g1_i8" 0 0 0
"TRINITY_DN74507_c0_g1_i1" 0 0 0
"TRINITY_DN74507_c0_g1_i5" 0 1 0
"TRINITY_DN74507_c0_g3_i10" 0 0 0
"TRINITY_DN74576_c1_g1_i1" 0 0 0
"TRINITY_DN74576_c1_g1_i2" 0 0 0
"TRINITY_DN74576_c1_g4_i1" 0 0 0
"TRINITY_DN74576_c1_g3_i4" 0 0 0
"TRINITY_DN74576_c1_g1_i5" 0 0 0
"TRINITY_DN74576_c1_g1_i6" 0 0 0
"TRINITY_DN74540_c0_g1_i1" 0 0 0
"TRINITY_DN74540_c0_g3_i2" 0 0 0
"TRINITY_DN74587_c0_g1_i1" 0 0 0
"TRINITY_DN74587_c0_g1_i4" 0 0 0
"TRINITY_DN74587_c0_g1_i5" 0 0 0
"TRINITY_DN74549_c0_g1_i2" 0 0 0
"TRINITY_DN74549_c0_g2_i1" 0 0 0
"TRINITY_DN74549_c0_g1_i3" 0 0 0
"TRINITY_DN74549_c0_g1_i4" 0 -1 0
"TRINITY_DN74549_c0_g1_i5" 0 0 0
"TRINITY_DN74549_c0_g1_i6" 0 0 0
"TRINITY_DN74549_c0_g1_i8" 0 0 0
"TRINITY_DN74549_c0_g3_i4" 0 0 0
"TRINITY_DN74549_c0_g1_i9" 0 0 0
"TRINITY_DN74549_c0_g1_i10" 0 0 0
"TRINITY_DN74549_c0_g3_i5" 0 0 0
"TRINITY_DN74549_c0_g1_i14" 0 0 0
"TRINITY_DN74549_c0_g2_i2" 0 0 0
"TRINITY_DN74553_c0_g1_i1" 0 0 0
"TRINITY_DN74553_c0_g1_i6" 0 0 0
"TRINITY_DN74553_c0_g1_i7" 0 0 0
"TRINITY_DN74553_c0_g1_i10" 0 0 0
"TRINITY_DN74525_c0_g2_i3" 0 0 0
"TRINITY_DN74525_c0_g2_i5" 0 1 0
"TRINITY_DN74525_c0_g2_i6" 0 0 0
"TRINITY_DN74525_c0_g2_i7" 0 0 0
"TRINITY_DN74525_c0_g2_i9" 0 0 0
"TRINITY_DN74525_c0_g2_i14" 0 0 0
"TRINITY_DN74525_c0_g2_i15" 1 0 0
"TRINITY_DN74525_c1_g1_i1" 0 0 0
"TRINITY_DN74525_c1_g1_i2" 1 0 0
"TRINITY_DN74525_c1_g1_i4" 1 0 0
"TRINITY_DN74509_c0_g1_i1" 0 0 0
"TRINITY_DN74509_c1_g1_i1" 0 0 0
"TRINITY_DN74509_c1_g2_i1" 0 0 0
"TRINITY_DN74509_c1_g3_i1" 0 0 0
"TRINITY_DN74509_c1_g4_i1" 0 0 0
"TRINITY_DN74509_c1_g2_i5" 0 0 0
"TRINITY_DN74509_c1_g2_i6" 0 0 0
"TRINITY_DN74509_c1_g2_i7" 0 0 0
"TRINITY_DN74509_c1_g2_i8" 0 0 0
"TRINITY_DN74509_c1_g3_i2" 0 0 0
"TRINITY_DN74509_c1_g2_i9" 0 0 0
