"","DS6","DF6","DL6","DR3","DS3","DF3","DL3","DR2","DS2","DF2","DL2","DR6","NF3","NF6","NR3","NR6","BR3","BF3"
"oases6_k31_Locus_3292_Transcript_3_1",862.969,566,88.2484,161.632,687.676,50.3702,93.816,150.379,103.988,1270.02,295.691,419.082,715.119,645.619,830.739,891.752,265.819,471.191
"oases6_k31_Locus_32949_Transcript_3_1",263.77,65,27,6,270,2,3,14,5,47,0,5,1642.6,1621.74,1654.95,2492.99,507,1075
"oases6_k31_Locus_32970_Transcript_1_1",47,7,1,5,79,9,0,17,0,15,2,0,164,59,131,64,26,132
"oases6_k31_Locus_32981_Transcript_1_1",13,1,1,0,0,0,0,0,0,1,0,0,41.0061,77.9274,30.2745,45.5398,12,47
"oases6_k31_Locus_33022_Transcript_2_1",7,4,0,0,13,4,1,0,0,6,0,0,316.394,211.897,189.797,54.9405,54.5374,323.395
"oases6_k31_Locus_3303_Transcript_8_1",432.815,143,20,97.8679,298.34,12.2197,57.2918,50.8775,71.8092,240.014,184.214,93.9469,392.373,627,495.209,701.011,177.3032,271.455
"oases6_k31_Locus_33046_Transcript_1_1",46,4,0,4,32,0,3,0,2,28,0,0,139,93,80,42,31,111
"oases6_k31_Locus_33074_Transcript_1_1",47.5542,26.2875,2,0,13.384,2,1.0189,2.09801,3,33.3357,0,0,161.166,178.634,109.844,89.9351,38.8935,139.2278
"oases6_k31_Locus_3307_Transcript_19_1",76.9351,17.2621,2,5,44.1398,2,3.41153,3,3,38.3676,0,12,325.358,160.049,313.118,334.019,113.2942,165.1196
"oases6_k31_Locus_3308_Transcript_9_1",21.875,2.60072,2.5961,5,39.1022,0,0,3,0,3.53273,0,2.93105,95.6922,113.153,200.057,113.262,96.3222,70.1995
"oases6_k31_Locus_33101_Transcript_1_1",3,3,0,4,7,0,0,1,0,0,0,0,118.989,324.416,383.912,80.2924,47.8511,75.117
"oases6_k31_Locus_3318_Transcript_1_1",31,79,35,6,22,2,20,13,25,66,1,52,0,5,6,16,2,0
"oases6_k31_Locus_3321_Transcript_12_2",28.5612,6.18631,0,2.58465,36.7491,0,0,0,0,1.03071,0,0,450.004,311.705,430.176,370.696,108.4872,144.4528
"oases6_k31_Locus_3321_Transcript_12_3",62.8582,61.2947,38.0883,5.59267,26.3744,18.8256,19.7117,2.82571,4.99318,44.8041,5.63599,11.43,245.131,48.6033,234.447,77.7085,83.6229,145.7581
"oases6_k31_Locus_3321_Transcript_12_4",693.576,197.152,73.8367,17,157.164,6,17.4482,102.911,79.7536,520.8,270,68.8804,241.617,802.565,307.761,986.935,66.6367,131.6811
"oases6_k31_Locus_33267_Transcript_8_1",165.96,104,25,1,34,11,8,17,12,53,2,7,186.785,468.782,132.628,319.533,51.7947,196.1763
"oases6_k31_Locus_33292_Transcript_4_1",237,29,5,17,198,4,11,8,6,44,0,2,1274,1120,1475,1217,389,897
"oases6_k31_Locus_33313_Transcript_1_1",9,3,0,0,5,0,0,0,0,1,0,0,131,129,86,87,26,89
"oases6_k31_Locus_3331_Transcript_21_2",24.7416,9.25597,0,0,0,0,0,2.17669,0,1.2063,0,7.34751,1.77628,215.051,8.04794,206.707,4.30793,15.49704
"oases6_k31_Locus_33332_Transcript_1_1",31,9,0,1,0,0,0,0,1,0,0,0,0,142,1,49,5,2
"oases6_k31_Locus_33353_Transcript_1_1",47.6894,15,5,1,57.7327,10,0,0,0,5.15918,2.51981,0,228.681,271.562,201.578,202.685,76.234,205.3617
"oases6_k31_Locus_33360_Transcript_4_1",18,16.3678,2,2,11,1,7,3,1.17597,3,0,0,38.5062,233.857,28.8481,39.3535,8.74873,25.12455
"oases6_k31_Locus_3337_Transcript_2_1",100.02,9.40828,0,3,52.8632,0,2.25789,3,3,6.1956,0,2.49164,210.994,153.559,745.178,281.26,301.964,158.264
"oases6_k31_Locus_333_Transcript_137_2",6.48508,4.3231,0,4.19213,44.5767,0,0,6,1,0,0,0,206.503,110.622,167.906,64.7309,94.4274,281.791
"oases6_k31_Locus_33418_Transcript_1_1",7,1,0,5,27,6,1,0,0,1,0,0,8,5,18,3,1,12
"oases6_k31_Locus_3359_Transcript_6_1",58.3523,21.5119,0,10,53.478,3,0,3,0,23.9001,2,9,14.5514,542.64,52.6787,831.041,13.93084,21.11499
"oases6_k31_Locus_3364_Transcript_9_1",172,59,27,12.028,47,3,2,27,11,34,26,41,266,406,522.844,674,235,223
"oases6_k31_Locus_33661_Transcript_2_1",8.44321,7.31175,2,0,12.0829,2.44881,0,0,2.72673,10.0212,0,0,789.317,898.638,192.295,131.509,73.2943,563.644
"oases6_k31_Locus_33669_Transcript_6_1",29.1473,12.0643,2,0,17,3,1,0,0,6,0,2,305.476,189.109,159.136,138.859,61.3976,233.575
"oases6_k31_Locus_3366_Transcript_2_1",91,116,2,50,423,6,15,29,3,130,2,172,352.952,402,500,1414,419,215
"oases6_k31_Locus_33678_Transcript_2_1",182,41,6,7,159,3,8,9,6,39,91,4,2272,1253,1374,1157,447,1280
"oases6_k31_Locus_33783_Transcript_6_1",9,6,0,0,0,2,1,0,0,2,0,0,192,199,23,14,3,129
"oases6_k31_Locus_33794_Transcript_1_1",248,135,94,11,325,4,66,8,27,140,215,9,347,333,268,264,79,188
"oases6_k31_Locus_337_Transcript_8_1",39.6012,19.7191,2,2.79749,32.1061,3.78013,10.4712,0,0,4.05597,0,17.5126,36.8059,35.2431,0,52.2081,10.17058,12.94883
"oases6_k31_Locus_3382_Transcript_8_1",60.7494,57.6764,4,10,149.883,6.039,5.34319,7.80186,2.32744,28.2061,35,5,188.104,169.105,174.842,120.717,65.602,123.1339
"oases6_k31_Locus_33833_Transcript_1_1",16,24,3,0,1,6,2,0,0,13,1,0,73,91,18,26,7,74
"oases6_k31_Locus_33845_Transcript_6_1",26,6,4,0,9,3,1,0,0,1,0,2,92,186,208.903,185,30,55
"oases6_k31_Locus_33878_Transcript_3_1",39,16,2,0,32,0,4,5,5,14,0,1,466,393,388,247,144,304
"oases6_k31_Locus_338_Transcript_122_3",311,68,13,28,295,19,6,23,13,73.2772,238,8,4697.63,6440.24,5606.79,5137.2,1751,3411
"oases6_k31_Locus_33908_Transcript_2_1",22.6919,3.01977,4.91372,1.4113,12.0055,0,1.83163,0,1,9.49697,0,0,478.124,947.53,474.275,788.408,64.3669,234.655
"oases6_k31_Locus_33913_Transcript_1_1",4,3,1,0,3,0,0,0,0,4,0,0,41,63,21,25,6,54
"oases6_k31_Locus_3391_Transcript_1_1",163,106,7,30,137,15,13,11,9,221,30,46,643,468,363,462,134,397
"oases6_k31_Locus_33933_Transcript_1_1",11,7,2,2,11,0,0,3,0,5,0,0,87,128,34,32,21,75
"oases6_k31_Locus_3397_Transcript_4_1",46,10,3,2,71,0,0,2,2,15,27,4,663,518,825,775,309,476
"oases6_k31_Locus_3399_Transcript_8_1",13,1,1,16,21,1,1,11,0,4,0,3,16,44,9,189,11,7
"oases6_k31_Locus_34037_Transcript_1_1",14.2814,5,1.40278,1.05597,2.05658,0,3.68216,3,0,1,0,4,233.4,353.199,188.565,438.826,33.1379,135.5546
"oases6_k31_Locus_3403_Transcript_12_1",29.3481,16.4803,1.55906,1.37435,1,0,0,0,1,2,0,3,9.90337,383.911,1.5325,150.316,1.48049,2.4233
"oases6_k31_Locus_34044_Transcript_8_1",18.0503,2.52995,0,1,0,0,0,1.02956,0,0,0,0,17.1589,215.556,83.1676,178.876,41.3258,20.41321
"oases6_k31_Locus_34069_Transcript_4_1",345,71.9872,28.9709,10,304,6,7,14,12,61,66,19,1928.03,2022.98,2091.15,2279.97,633.238,1294.588
"oases6_k31_Locus_34084_Transcript_1_1",37,2,1,1,56,0,1,0,0,2,0,1,133,140,564,907,190,115
"oases6_k31_Locus_3408_Transcript_47_1",96.1268,10.3545,12.6399,6.88635,45.3282,1.35309,2.05894,4.06706,0,1.01535,1.12328,24.7811,13.7881,86.0039,109.748,904.449,92.5139,19.84187
"oases6_k31_Locus_34098_Transcript_5_1",18,4,2,0,36,0,1,4,1,2,0,0,246,129,250,68,115,155
"oases6_k31_Locus_34191_Transcript_1_1",29,7,2,0,18,0,3,1,1,17,32,0,211,192,104,84,28,178
"oases6_k31_Locus_34199_Transcript_5_1",23,5,23,0,5.03488,0,4.03216,4,14,11,0,0,393.1,157.713,83,105.486,52,169
"oases6_k31_Locus_3420_Transcript_3_1",972,202,19,112,1601,33,33,31,28,450,115,238,291,281,861,1371,261,145
"oases6_k31_Locus_34235_Transcript_2_1",4.81781,3.17492,0,1.23632,9.98273,0,0.966149,1.47745,4,2.72655,1,1,24.7596,36.9077,36.0823,43.6028,13.05196,12.56604
"oases6_k31_Locus_34289_Transcript_3_1",6,1,0,0,8,0,2,0,0,0,0,0,46.5841,61.774,54.3403,74.9166,18,27.4479
"oases6_k31_Locus_3438_Transcript_8_1",74,46.7541,18,23.4955,24.2635,13,13,29,23.2191,206.385,1,35,5.64928,7,4.55415,13,13,9.65536
"oases6_k31_Locus_34405_Transcript_2_1",9,5,2,0,0,0,0,1,4,42,18,0,1,73,0,25,0,0
"oases6_k31_Locus_34488_Transcript_1_1",35,3,2,1,38,0,1,1,1,5,0,1,128,140,231,170,79,92
"oases6_k31_Locus_34503_Transcript_2_1",240,175,17,33,465,13,32,37,23,234,71,15,999.995,1098,767.484,877,242,734.953
"oases6_k31_Locus_34511_Transcript_9_1",51,10,3,12,3,0,0,2,2,8,0,1,25,354,0,293,2,14
"oases6_k31_Locus_34521_Transcript_3_1",10,2,0,0,6,0,0,2,0,0,0,0,79.383,112,119,139,32,44
"oases6_k31_Locus_34626_Transcript_1_1",6,1,0,0,8,0,0,0,0,0,0,0,64,55,12,10,1,16
"oases6_k31_Locus_3463_Transcript_7_2",0,0,1.96113,0,0,0,0,0,0,0,0,0,17.0364,6.34384,10.3166,14.9339,9.24474,9.53766
"oases6_k31_Locus_34660_Transcript_3_1",22,6,0,2,14,1,4,3,0,9,68,0,44,123,23,49,7,40
"oases6_k31_Locus_34781_Transcript_1_1",109,33,9,5,81,0,0,3,4,32,66,5,700,881,653,1086,180,390
"oases6_k31_Locus_34821_Transcript_1_1",21,6,0,1,1,0,0,2,5,18,0,0,0,54,0,103,0,1
"oases6_k31_Locus_34861_Transcript_3_1",202,27,18,22,161,4,10,14,8,41,0,5,1230,762,1024,925,291,766
"oases6_k31_Locus_34884_Transcript_2_1",16,6,0,0,0,0,1,0,0,0,0,0,2.05119,106,0,46,1,0
"oases6_k31_Locus_34886_Transcript_2_1",0,1,0,3,8,1,0,5,0,3,0,0,29,71,43,57,26,11
"oases6_k31_Locus_34924_Transcript_7_1",24.192,8.57409,3.33129,4,23.9031,0,3,2.38812,6.49542,6,0,0,278.223,303.426,228.111,255.893,85.3429,204.1928
"oases6_k31_Locus_34996_Transcript_5_1",22.7174,7,6,1.51234,48.4718,0,3,1,0,2,51,1,944.834,1098.56,670.067,1027.21,244,761.013
"oases6_k31_Locus_35063_Transcript_1_1",3,2,0,0,3,0,0,0,0,0,0,0,21,16,16,16,7,15
"oases6_k31_Locus_3508_Transcript_5_1",355.538,577.72,61.3412,6.68389,42.7612,17.1876,21.3022,3.27885,11.7472,71.9132,7.24947,213.894,0,64.4487,0,70.953,0,0
"oases6_k31_Locus_35106_Transcript_2_1",27,4,0,2,7,1,0,1,0,3,0,0,360,273,214,139,49,271
"oases6_k31_Locus_35114_Transcript_2_1",8,8,0,3,24.9657,3,0,0,0,6,0,0,240.783,239.757,196.888,151.485,74.7115,235.223
"oases6_k31_Locus_35119_Transcript_1_1",15,6,12,2,47,2,6,0,11,8,0,2,476.27,313.865,231.674,222.469,76.3667,317.838
"oases6_k31_Locus_3516_Transcript_1_1",1,0,0,0,49,0,1,0,0,2,0,2,11,24,116,83,20,6
"oases6_k31_Locus_35244_Transcript_1_1",19.9361,9.14164,9.75843,0.473366,1.23647,0,6.35262,3.43369,0,2.35936,52,0,389.257,285.543,6.39902,51.8801,1.31745,295.388
"oases6_k31_Locus_35266_Transcript_6_1",14,3,3,1,3,0,0,8.45124,0,3.10468,0,0,7,55,6,104.466,5,11.04842
"oases6_k31_Locus_35302_Transcript_1_1",11,1,0,0,4,0,0,1,0,0,0,0,34,7,79,48,32,43
"oases6_k31_Locus_3534_Transcript_3_1",211.311,216.624,82.2096,1.47732,35.9143,0,9.90727,2.71352,12.8952,116.021,2.98307,76.5895,21.9921,410.451,9.17438,219.693,0,23.023
"oases6_k31_Locus_35377_Transcript_2_1",17,0,0,0,1,1,0,0,0,0,0,0,76,160,120,241,23,10
"oases6_k31_Locus_35405_Transcript_7_1",9.28713,6,0,6,19.8092,0,1,0,0,1,0,2,190.141,192.166,131.307,131.274,43.938,128.6589
"oases6_k31_Locus_35428_Transcript_1_1",65,0,1,0,16,1,0,1,3,2,0,1,143,37,268,114,85,40
"oases6_k31_Locus_35458_Transcript_1_1",105.796,72.9035,7,20.771,250.595,17.5111,2.53809,11,8.56647,42.3496,0,15,63.9083,50.141,118.494,144.79,94.6055,46.6472
"oases6_k31_Locus_3547_Transcript_7_1",124.931,74.8242,20.2293,24.3348,146.566,17.1272,20.3008,18.7167,16.6347,67.4926,14,20,585.464,401.491,502.52,471.937,226.731,431.169
"oases6_k31_Locus_35480_Transcript_1_1",100,12,3,0,282,0,1,4,2,31,0,2,373,348.321,492.654,511.904,111,329
"oases6_k31_Locus_3548_Transcript_14_1",613.913,57.3906,26.8063,138.886,598.297,9.59544,31.4503,94,63.7677,104.779,281,174.758,745.739,343.612,2349.38,4026.24,1354.147,412.372
"oases6_k31_Locus_35527_Transcript_3_1",72,206,148,7,7,60,156,6,204,200,68,3,2180,1947,125,29,23,1445
"oases6_k31_Locus_35571_Transcript_1_1",8,7,0,0,2,1,0,0,0,6,0,0,38,23,5,0,1,11
"oases6_k31_Locus_35587_Transcript_4_1",6,28,29,0,11,1,6,0,4,12,0,0,413,485,32,60,9,331
"oases6_k31_Locus_35615_Transcript_3_1",5,5,13,2,44,0,2,0,4,0,0,0,461,306,156,106,26,273
"oases6_k31_Locus_35721_Transcript_3_1",1,9,9,2,0,0,1,0,1,3,54,0,407,373,92,90,39,239
"oases6_k31_Locus_35750_Transcript_1_1",27,6,0,2,34,11,5,0,5,11,0,1,468,180,530,208,136,181
"oases6_k31_Locus_3577_Transcript_9_1",60,28,11.703,19,46,4.1154,11,10,29.6383,29.5125,31,20,518.702,370.944,506.743,416.839,170.2529,356.662
"oases6_k31_Locus_35837_Transcript_3_1",6,8,1,1,6,0,1,0,0,5,0,0,33,36,32,35,9,15
"oases6_k31_Locus_35866_Transcript_4_1",7,40,6,0,0,2,4,0,4,14,0,0,630,597,17,7,10,470
"oases6_k31_Locus_3586_Transcript_2_1",2150,224,51,685,11258,60,91,1312,250,3846,1235,513,758,833,1750,1059,865,698
"oases6_k31_Locus_358_Transcript_10_1",314,152,46,8,24,5,8,47,127,214,222,69,13.1055,86,21.2223,104,7.03027,15.55893
"oases6_k31_Locus_35917_Transcript_4_1",2,6,4,0,2,0,0,0,0,4,0,0,104,162,31,26,15,55
"oases6_k31_Locus_35932_Transcript_1_1",10,15,0,4,54,0,1,0,0,13,0,0,137,206,462,36,62,82
"oases6_k31_Locus_35947_Transcript_1_1",8,5,0,4,23,0,1,1,0,3,0,0,186,136,66,66,37,158
"oases6_k31_Locus_35959_Transcript_1_1",60,4,6,0,0,0,0,0,0,0,0,1,1.00156,1036.89,0,572.956,1,0
"oases6_k31_Locus_3596_Transcript_6_1",50,28,1,2,3,0,0,3,15,21,0,3,1,232,3,256,0,1
"oases6_k31_Locus_35973_Transcript_1_1",8,1,3,5,2,1,0,1,0,6,0,1,39,61,15,19,12,28
"oases6_k31_Locus_3601_Transcript_3_1",106,37,30,12,84,21,10,7,7,27,2,13,597,485,426,304,116,309
"oases6_k31_Locus_36075_Transcript_4_1",42,10,2,5,87,1,1,1,4,9,0,1,377,291,585,355,172,309
"oases6_k31_Locus_36103_Transcript_2_1",41.7677,4,1.27073,0,1,0,0,0,0,1.0788,0,2.02122,13.9416,207.442,10.971,156.19,5.7178,22.6364
"oases6_k31_Locus_36157_Transcript_2_1",192.082,167.235,23.723,6.25836,396.785,12.321,8.41477,13.5756,9,45.5707,24.3552,3.58686,1934.85,1963.81,603.196,945.372,265.807,1046.648
"oases6_k31_Locus_36166_Transcript_1_1",8.25953,0,0,0,33.8989,0,0,0,2,0,0,0,284.048,166.231,324.909,300.235,142.566,175.477
"oases6_k31_Locus_36265_Transcript_3_1",11.85,6.06299,1.09216,0,0,0,0,0,0,2,0,1.83885,20.8893,346.305,3.50275,111.943,2.06001,1.91949
"oases6_k31_Locus_36321_Transcript_2_1",19,0,0,1,0,0,0,0,0,0,0,0,0,45,0,73,1,1
"oases6_k31_Locus_36337_Transcript_1_1",11,7,5,0,1,1,5,0,18,15,0,3,867,147,16,49,23,338
"oases6_k31_Locus_3635_Transcript_11_1",121,70,57,8,35,2,25,56,92,45,73,18,203.206,403.818,212.144,475.527,68,149.0533
"oases6_k31_Locus_36373_Transcript_3_1",0,18.2704,23.2391,0,5.90843,0,0,0,0,0,0,0,142.722,275.851,23.7233,30.7921,2.71113,29.1086
"oases6_k31_Locus_3641_Transcript_7_1",247.826,120.35,65.8844,22.853,162.027,16.3614,30.9672,18.4707,18.9346,161.725,8.2132,200.287,25.4943,46.1812,46.24,145.095,5.62673,7.35062
"oases6_k31_Locus_36425_Transcript_1_1",29,20,17,0,64,0,7,0,6,18,0,0,703,684,419,274,173,509
"oases6_k31_Locus_36432_Transcript_1_1",6,2,0,0,2,0,3,4,2,5,0,0,68,32,69,45,23,42
"oases6_k31_Locus_36442_Transcript_3_1",31.0614,6.87302,1.378,2.22556,33.0901,0,3.1392,1.32919,1.92801,0,1,0,287.454,208.382,381.026,316.408,147.1331,183.506
"oases6_k31_Locus_36485_Transcript_2_1",121,53,14,4,83,7,9,6,5,33,4,6,1250,1191,960,967,340,855
"oases6_k31_Locus_36492_Transcript_2_1",3.83887,0,1.29161,0,0,0,2.4496,2.67932,6.66089,1.18175,0,0,120.324,117.192,16.4038,9.54599,3.43243,34.6092
"oases6_k31_Locus_36508_Transcript_1_1",119.702,59.9701,9.64887,4.37215,149.952,2.47571,5,10,2,90.94,0,4.49722,743.416,900.409,646.931,599.742,173.2133,567.763
"oases6_k31_Locus_3658_Transcript_4_1",466.583,321.383,8,78.6468,549.515,31.8938,29.9404,95.2508,28,858.111,23.9616,77.7608,2042.05,2763.13,1315.22,2092.44,653.044,1528.028
"oases6_k31_Locus_36653_Transcript_3_1",18.6828,12,6,3,5.92185,1,1,0,0,9,0,0,121.865,344.763,127.641,243.612,34.2017,76.3709
"oases6_k31_Locus_3671_Transcript_11_1",3.22386,25.0075,2.68364,1,0,0,1.57015,2.44447,0,4.82036,0,14.3054,6.61011,137.356,5.88074,149.268,2.82351,0
"oases6_k31_Locus_3673_Transcript_7_2",151,48,9,23,346,7,3,20,5,111,55,9,758.487,739.949,1194.05,1173.62,411.196,478.482
"oases6_k31_Locus_3678_Transcript_1_1",8,18,3,3,27,1,13,2,15,27,61,4,2,2,3,0,9,1
"oases6_k31_Locus_36807_Transcript_2_1",679.806,788.702,737.751,9,102,94,73.1958,4,89,314.079,134,10,2709.35,4549.85,250.208,72.0511,43,1915.227
"oases6_k31_Locus_36851_Transcript_1_1",53,18,4,7,43,2,4,3,2,18,28,4,585,536,443,289,125,240
"oases6_k31_Locus_36870_Transcript_1_1",8,2,0,3,27,0,0,0,0,6,0,0,70,72,40,35,24,56
"oases6_k31_Locus_3703_Transcript_50_1",442.715,319.192,167.409,140,502.158,32.4951,82.9403,289.91,155.584,330.301,97,105,1165.79,1004.67,1914.95,1292.13,604.979,738.643
"oases6_k31_Locus_37162_Transcript_1_1",23,8,0,0,25,0,0,0,0,5,0,1,135,133,252,75,72,113
"oases6_k31_Locus_37252_Transcript_2_1",57.4351,28.4775,0,25.474,396.187,4.32718,4.01561,0,3.91332,0,0,3.3265,287.493,530.295,3497.19,3538.43,1581.21,347.547
"oases6_k31_Locus_37286_Transcript_5_1",76.1436,15.3971,0,0,9.34157,4,0,1.08758,1,4.23869,0,4,638.878,1382.91,223.875,1167.18,96.2749,637.141
"oases6_k31_Locus_37404_Transcript_4_1",13.1121,2,0,0,20.4643,0,0,1.81156,1,0,0,0,120.675,213.196,82.5252,159.245,65.9693,144.7263
"oases6_k31_Locus_3746_Transcript_3_1",423,171,5,114,423,35,2,77,5,513,165,98,803,447,902,475,351,523
"oases6_k31_Locus_37689_Transcript_2_1",10,19,4,0,2,0,0,1,4,18,0,0,245,262,2,2,0,147
"oases6_k31_Locus_3772_Transcript_7_2",54,31,22,9,68,2,6,5,9,9,0,0,1482,1170,806,616,203,931
"oases6_k31_Locus_37769_Transcript_1_1",30,20,1,0,36,2,0,1,0,47,0,0,190,255,150,38,56,186
"oases6_k31_Locus_37828_Transcript_1_1",3,11,7,0,5,0,2,1,4,2,0,0,19,121,8,30,3,9
"oases6_k31_Locus_37829_Transcript_1_1",37,42,1,8,32,1,3,7,1,65,0,1,259,288,53,28,37,138
"oases6_k31_Locus_37832_Transcript_3_1",13.0461,15.0747,0,3.02193,14.0819,2,1,0,2,8.00721,0,0,133.982,210.835,60.4458,72.4344,18.22444,141.6034
"oases6_k31_Locus_37898_Transcript_2_1",38,8,10,0,30.4438,0,0,4,0,2,0,2,92.7419,169.676,258.245,908.547,102.1357,59.8738
"oases6_k31_Locus_3792_Transcript_10_2",65.7319,5811.97,54,42.4807,100.151,686,79,37.6556,59,7226.95,71,27,9368.84,13911.5,55.2468,227.554,41.282,7268.33
"oases6_k31_Locus_3795_Transcript_12_2",2.06145,0,0,0,0,0,0,0,4,2,0,0,32.0489,36.5674,20.9164,29.7926,8.32162,20.7497
"oases6_k31_Locus_38021_Transcript_1_1",0,1,0,0,10,0,1,0,1,0,0,0,30.7166,22.8954,11,0,3.36852,31.3639
"oases6_k31_Locus_38047_Transcript_1_1",45,76,43,0,3,1,4,1,8,19,46,1,3574,6218,17,11,4,2568
"oases6_k31_Locus_380_Transcript_8_1",266.287,131.236,42.4834,54.3784,225.012,11.9239,70.9939,119.55,69.1077,245.038,281.92,91.3376,811.202,441.37,596.091,767.089,333.133,517.994
"oases6_k31_Locus_38163_Transcript_1_1",51,104,202,1,60,18,22,3,49,45,46,1,806,753,171,181,91,678
"oases6_k31_Locus_38190_Transcript_1_1",27,80,17,3,19,6,7,3,34,81,78,1,853,951,70,63,19,559
"oases6_k31_Locus_3820_Transcript_5_1",3733.38,2691.95,493.735,880.883,4310.74,954.77,1038.25,811.009,586.811,5107.58,1355.08,985.152,3927.34,2270.13,3698.16,2441.13,1098.214,2518.98
"oases6_k31_Locus_3827_Transcript_1_1",83,74,39,3,1,0,2,0,0,3,0,75,3,26,1,48,0,1
"oases6_k31_Locus_38347_Transcript_1_1",6,0,0,0,3,0,1,0,0,20,0,0,65,43,5,15,3,65
"oases6_k31_Locus_38379_Transcript_3_1",0,3,0,0,6,0,0,0,0,2,0,0,56.3425,38,51.1727,31,9.22066,47
"oases6_k31_Locus_38385_Transcript_3_1",128,51,22,11,121.953,13,6,7,14,32.331,51,4,1778.58,1222.28,1312,992.572,607.197,1309.404
"oases6_k31_Locus_3838_Transcript_4_1",13,11,1,0,1,0,0,22,0,51,0,26,0,0,0,0,0,0
"oases6_k31_Locus_38477_Transcript_4_2",4.49751,1.30863,1.72286,0,0,0,0,0,0,0,0,0,29.6211,58.4467,0,2.52705,3,18.85447
"oases6_k31_Locus_38592_Transcript_1_1",83,41,7,1,70,3,2,5,13,19,0,0,1611,1765,1040,1091,349,1346
"oases6_k31_Locus_38628_Transcript_5_1",132,29,18,15,196,8,19,14,29,69,83,3,1475.11,1018.14,1139.72,951.256,431.555,1035.462
"oases6_k31_Locus_38664_Transcript_2_1",15,4,2,2,31,0,4,3,1,8,0,0,181,182,139,185,51,162
"oases6_k31_Locus_38666_Transcript_1_1",72,42,34,7,144,3,4,1,13,17,1,2,2074,1881,1426,1208,538,1476
"oases6_k31_Locus_386_Transcript_2_1",346,140,48,34,524,9,16,150,26,284,55,37,906,974,878,421,348,545
"oases6_k31_Locus_38752_Transcript_1_1",37,25,1,8,82,20,1,5,1,12,0,0,194,147,350,143,61,142
"oases6_k31_Locus_3875_Transcript_10_1",514,8,3,15,202,0,1,4,4,8,108,8,206,24,4028,1597.36,1045,75
"oases6_k31_Locus_3878_Transcript_5_1",2,0,0,8,0,0,0,2,0,1,0,12,2.96272,1.00973,14.3403,712.995,66.0874,0
"oases6_k31_Locus_388_Transcript_12_1",58.8563,18.6427,0,65.7822,34.8299,0,1.14771,28.6564,0,17.8272,0,12.4409,0,0,0,0,1.25268,1
"oases6_k31_Locus_38987_Transcript_1_1",30,11,1,5,53,4,2,19,0,175,2,0,282,250,100,72,38,239
"oases6_k31_Locus_389_Transcript_4_1",112,51,25.7779,13,203,16,14,27,27,138.461,51,14,1436.36,1075.98,861.14,794.081,266.807,910.914
"oases6_k31_Locus_3904_Transcript_4_1",79.8898,25,8.94945,7.84259,65.0759,4.54874,5.16221,13,4.45272,18,0,5,841,554,387.443,423,161,524.647
"oases6_k31_Locus_39058_Transcript_1_1",56,18,7,9,120,4,5,11,4,57,40,3,567,196,555,122,120,369
"oases6_k31_Locus_390_Transcript_23_1",136.836,78.7944,0,25.7138,35.968,5.77683,0,33.8485,1.81634,49.8034,0,62.7893,50.783,58.6128,165.945,126.866,88.4557,15.96135
"oases6_k31_Locus_39120_Transcript_2_1",55,6,1,0,7,4,0,1,0,2,0,0,101,166,30,28,9,53
"oases6_k31_Locus_3915_Transcript_2_1",16,31,8,3,10,1,7,3,24,20,1,0,606,324,39,26,22,363
"oases6_k31_Locus_3920_Transcript_12_1",600,305,61,65,533,48,64,60,112,257,155,69,1455,1132,1320,1245,430,892
"oases6_k31_Locus_39215_Transcript_1_1",32,30,4,6,24,0,2,2,1,8,1,0,137,436,142,185,36,134
"oases6_k31_Locus_3922_Transcript_1_1",3.3566,0,1,0,2.5611,0,0,0,2,4,0,4,52.6474,28.152,29.5,34.518,11.42741,33.8656
"oases6_k31_Locus_3926_Transcript_1_1",250.325,105.53,61.8441,17.9137,258.3,10.1678,46,23.8441,72.5947,96.2574,102,28.3181,3418.47,2503.19,1948.85,2383.97,773.049,2229.8
"oases6_k31_Locus_39291_Transcript_1_1",22,70,60,1,3,1,15,3,28,88,0,0,96,140,1,0,0,95
"oases6_k31_Locus_39292_Transcript_2_1",6,4,0,2,27,0,0,1,1,6,0,0,81,51,79,46,33,88
"oases6_k31_Locus_39411_Transcript_2_1",10,1,3,0,42,0,0,0,0,2,1,1,438,382,429,303,124,217
"oases6_k31_Locus_39432_Transcript_3_1",2.26803,0,4.09306,0,0,1,0,0,0,3.45745,0,0,227.239,199.415,81.3003,100.803,48.6655,120.3257
"oases6_k31_Locus_3943_Transcript_10_1",8,11,0,0,0,0,0,0,0,0,0,0,19.5821,50.3201,8.1994,122,0,16.82472
"oases6_k31_Locus_3943_Transcript_10_2",83,59,9,43,338,36,11,42,19,210,36,29,520,174,420,222,172,367
"oases6_k31_Locus_39440_Transcript_3_1",30,14,10,4,16,13,2,1,3,5,5,1,242,118,130,122,56,186
"oases6_k31_Locus_39499_Transcript_4_1",12,104,2,4,44,20,0,7,0,26,0,1,202,250,53,33,6,61
"oases6_k31_Locus_39505_Transcript_6_1",2,4.6859,0,0,0,4,0,0,0,4.21788,0,0.000109443,30.995,72.5571,11.4692,3.142,10.31399,35.7945
"oases6_k31_Locus_39505_Transcript_6_2",2,10,1,0,2.41432,2,0,0,0,2,0,0,202.258,790.104,81.9912,60.6429,38.255,253.188
