"","DS6","DF6","DL6","DR3","DS3","DF3","DL3","DR2","DS2","DF2","DL2","DR6","NF3","NF6","NR3","NR6","BR3","BF3"
"oases2_CL10893Contig1_1",1.85561,0,0,7.63851,44.5203,3.9102,0,0.731877,3,70.5184,0,2,81.632,4.24495,41.7948,10.4291,23.74434,38.1435
"oases2_CL10894Contig1_1",3.22448,2,2,1,0,0,1.30745,14.962,23.985,184,26,0,3.05357,0,4.1912,0,2.09355,2.04322
"oases2_CL10895Contig1_1",95,18,4,6,32,0,10,11,8,43,1,14,169,72,179,101,44,59
"oases2_CL10898Contig1_1",7,8,2,0,14,0,0,1,8,27,0,1,200,184,28,23,20,136
"oases2_CL108Contig2_1",71.569,42,4,104.045,170,4,30,46.117,64,82.1903,72,31.86,16.4913,11,15.0815,19,53.4205,13
"oases2_CL10908Contig1_1",246,175,12,56,199,15,18,79,18,179,115,36,1199,1262,1078,984,419,974
"oases2_CL10910Contig1_1",62,31,12,19,353,1,8,11,3,61,1,13,1206,1035,1306,2217,628,572
"oases2_CL10913Contig1_1",15,7,6,0,0,0,0,9,8,30,2,7,0,10,1,16.1587,0,0
"oases2_CL10918Contig1_1",3.2346,1.56436,2.41006,5,0,3,0,19.9378,5.15914,15.0992,0,0,199.124,162.771,10.6669,32.0926,5.93366,87.765
"oases2_CL10922Contig1_1",61.5676,28.9058,18.8387,9.73447,97.5772,1,11.6612,7.89418,13.9917,22.2736,1,4.83391,796.394,662.941,631.158,575.148,170.2057,458.554
"oases2_CL10929Contig1_1",17.5665,3,1,0,0,0,0,0,0,4,0,0,53.0858,69.7999,23.9116,36.366,1.13288,70.3559
"oases2_CL10933Contig1_1",31.6148,13.634,0,5,59.8547,2,1,4,2,14,0,2,28.8919,43.3608,114.377,21.2183,90.2123,18.74928
"oases2_CL10934Contig1_1",0,2,0,18,9,0,0,27,1,30,0,6,0,0,0,0,3,0
"oases2_CL10936Contig1_1",0.508254,0,7.04967,0.59856,4.13116,2,5.00739,3,2.69154,8.56648,44.6222,0,150.963,444.253,31.3945,35.6007,13.95043,153.0752
"oases2_CL10940Contig1_1",57.1315,32.0712,1.2087,6,50.2459,7,6,7,5,62,0,10,82.0534,152.867,50.5781,112.311,30.4892,118.4062
"oases2_CL10952Contig1_1",6.28637,16.6072,2.37672,1.87445,0,0,0,9.37333,8.14835,102.462,91.0956,11.9483,0,0,0,0,0,0
"oases2_CL1095Contig2_1",113.803,61.1469,18.7483,21.0414,262.55,30.1348,12,2.65534,12.4029,27.7362,119.535,5.28692,1590.32,1426.92,2156.18,2087.99,992.148,1390.171
"oases2_CL10972Contig1_1",15.6772,4.76578,3.2995,9.3351,110.379,6.61782,19.9176,18.7476,55.2396,144.956,91.4771,6.34713,360.434,98.238,306.216,124.571,105.5362,255.154
"oases2_CL10979Contig1_1",301.431,117.097,26.1756,4.71026,182.347,6.58954,11.6172,80.798,8.5454,62.4251,0,0,151.627,255.188,130.269,94.5582,39.0837,154.6909
"oases2_CL10987Contig1_1",7.63882,5.49919,4,1,21,1,1,5,10,13,7,2,114.835,74.9342,54.3012,38.9861,22.4545,57.7817
"oases2_CL10988Contig1_1",3,7,0,0,8,1,1,0,0,41,1,4,42,43,18,27,10,41
"oases2_CL1098Contig1_1",7.77371,6,1,40,47,7,2,22,0,43.0466,0,23,0,0,3,7,11,5
"oases2_CL10Contig3_1",338.788,114.369,4,407.656,558.867,27.2904,21.6442,217.386,27,249.807,5,130.259,27.5281,15.0895,32.5468,33.5725,214.702,26.2864
"oases2_CL11000Contig1_1",203.269,279.077,59.1529,29.5835,144.174,25.0603,22.12,17.6153,20.04,87.331,63.1699,31.9751,1338.72,1171.38,717.436,891.831,326.926,690.762
"oases2_CL11005Contig1_1",102.858,37.6864,3,5.55775,132.969,11.8972,6.75143,14.8242,6.75458,63.5629,0,14.9032,184.428,63.4386,172.437,122.498,47.3383,107.4119
"oases2_CL11006Contig1_1",300,35,3,25,1571,6,4,34,5,29,68,12,816,565,3211,3341,1039,411
