Gene Flower Leaf Stem
TRINITY_DN20679_c0_g1_i1 0 0 0
TRINITY_DN20606_c0_g1_i1 0 0 0
TRINITY_DN20607_c0_g1_i1 0 0 0
TRINITY_DN20607_c0_g1_i2 0 0 0
TRINITY_DN20607_c0_g1_i3 0 0 0
TRINITY_DN20612_c0_g1_i1 0 0 0
TRINITY_DN20642_c0_g1_i1 0 0 0
TRINITY_DN20691_c0_g1_i1 0 0 0
TRINITY_DN20665_c0_g1_i1 0 0 0
TRINITY_DN20678_c0_g2_i1 0 0 0
TRINITY_DN20678_c0_g3_i1 1 0 0
TRINITY_DN20647_c0_g1_i1 0 0 0
TRINITY_DN20647_c0_g1_i2 0 1 0
TRINITY_DN20681_c0_g2_i2 0 0 0
TRINITY_DN20673_c0_g1_i1 1 0 0
TRINITY_DN20643_c0_g1_i1 0 0 0
TRINITY_DN20652_c0_g2_i1 0 0 0
TRINITY_DN20605_c0_g1_i1 0 0 0
TRINITY_DN20605_c0_g1_i2 0 0 0
TRINITY_DN20619_c0_g1_i1 0 0 0
TRINITY_DN20619_c0_g2_i1 0 0 0
TRINITY_DN20648_c0_g2_i1 0 0 0
TRINITY_DN20651_c0_g1_i1 0 0 0
TRINITY_DN20635_c0_g4_i1 0 0 0
TRINITY_DN20620_c0_g1_i1 0 0 0
TRINITY_DN20632_c0_g1_i1 1 0 0
TRINITY_DN20692_c0_g1_i1 0 0 0
TRINITY_DN20692_c0_g2_i1 0 0 0
TRINITY_DN20692_c1_g1_i1 0 0 0
TRINITY_DN20627_c0_g1_i1 0 0 0
TRINITY_DN20614_c0_g1_i1 0 0 0
TRINITY_DN20633_c0_g1_i1 0 0 0
TRINITY_DN20633_c0_g2_i1 0 0 0
TRINITY_DN20633_c0_g2_i2 0 0 0
TRINITY_DN20633_c0_g2_i3 0 0 0
TRINITY_DN20633_c0_g2_i4 0 0 0
TRINITY_DN20696_c0_g1_i1 0 1 0
TRINITY_DN20693_c0_g1_i1 0 0 1
TRINITY_DN20622_c0_g1_i1 0 0 0
TRINITY_DN20634_c0_g1_i1 0 0 0
TRINITY_DN20655_c0_g2_i1 0 0 0
TRINITY_DN20655_c0_g2_i2 0 0 0
TRINITY_DN20662_c0_g1_i1 -1 -1 0
TRINITY_DN20662_c0_g1_i2 -1 0 0
TRINITY_DN20662_c0_g1_i3 0 -1 -1
